CODMES,CODSOLICITUD,prediction_peak
201307,4564,0.19332965
201307,10399,0.19239897
201307,10150,0.21210523
201307,3234,0.18295516
201307,4469,0.22785145
201307,12010,0.19525364
201307,3616,0.18295516
201307,57,0.1843401
201307,7772,0.20626944
201307,5360,0.18737501
201307,1320,0.18295516
201307,9657,0.19612871
201307,9023,0.18665822
201307,9164,0.1894885
201307,7883,0.18429598
201307,2606,0.18634377
201307,14334,0.18982786
201307,272,0.20826212
201307,2458,0.1885394
201307,6797,0.18295516
201307,193,0.19049995
201307,546,0.21642756
201307,9764,0.2113074
201307,6795,0.18944167
201307,13131,0.18303405
201307,9733,0.1867675
201307,6503,0.1941118
201307,5129,0.18295516
201307,9158,0.21498616
201307,6317,0.18810716
201307,2064,0.1843401
201307,9298,0.18295516
201307,7818,0.19674459
201307,8492,0.1879087
201307,9180,0.18739618
201307,12218,0.1980135
201307,8337,0.2114862
201307,4730,0.18295516
201307,2451,0.18378907
201307,225,0.21158057
201307,2479,0.18295516
201307,10474,0.19136229
201307,11966,0.20325367
201307,6959,0.18295516
201307,3602,0.19240797
201307,4734,0.18415079
201307,4909,0.18378907
201307,1458,0.1843401
201307,13972,0.18465826
201307,4637,0.19673151
201307,499,0.18465826
201307,3665,0.18716837
201307,7615,0.1843401
201307,5435,0.18295516
201307,4219,0.20523223
201307,9188,0.18799233
201307,8802,0.18898591
201307,7538,0.18705967
201307,4201,0.20820625
201307,3263,0.18423188
201307,5553,0.19513023
201307,2172,0.18295516
201307,2181,0.19221881
201307,9094,0.20260622
201307,12997,0.1943991
201307,1499,0.18537906
201307,2535,0.22318134
201307,10516,0.20655435
201307,2918,0.18846852
201307,6687,0.19870411
201307,5380,0.18295516
201307,13995,0.18973994
201307,6310,0.19756597
201307,9591,0.18295516
201307,3191,0.22296852
201307,5074,0.18295516
201307,11704,0.18295516
201307,10105,0.21863836
201307,585,0.19523026
201307,10899,0.1843401
201307,4448,0.18295516
201307,9187,0.18295516
201307,8996,0.1975575
201307,7131,0.21024044
201307,330,0.21007602
201307,6861,0.20202473
201307,4973,0.21907215
201307,1433,0.19644293
201307,12183,0.18780583
201307,9006,0.21103217
201307,11234,0.1884762
201307,2883,0.20178072
201307,7666,0.20518178
201307,6193,0.2038571
201307,13316,0.18295516
201307,4092,0.19505063
201307,9372,0.20386271
201307,4690,0.18454346
201307,8540,0.1947743
201307,1600,0.18295516
201307,6824,0.22984453
201307,2731,0.20163973
201307,11826,0.19704776
201307,4366,0.18917397
201307,68,0.18295516
201307,7973,0.18295516
201307,5350,0.18295516
201307,7210,0.18295516
201307,10571,0.18575698
201307,2148,0.18600468
201307,5918,0.18818608
201307,8870,0.18672782
201307,12343,0.20463839
201307,6288,0.1911377
201307,12307,0.18707721
201307,3308,0.18710804
201307,5053,0.18295516
201307,4427,0.18956648
201307,2190,0.18420586
201307,11817,0.18956749
201307,3722,0.19380471
201307,1500,0.18705967
201307,1180,0.18597247
201307,10528,0.20518178
201307,9160,0.20315118
201307,10375,0.18725896
201307,4806,0.18517646
201307,831,0.18295516
201307,61,0.18295516
201307,851,0.1843401
201307,12137,0.18295516
201307,11685,0.18951257
201307,2274,0.19452195
201307,5211,0.19176179
201307,7598,0.19209759
201308,4768,0.19928305
201308,10189,0.21564543
201308,11542,0.18990818
201308,8125,0.1943293
201308,8710,0.19203852
201308,12802,0.20448373
201308,4626,0.18295516
201308,5201,0.18497047
201308,871,0.18295516
201308,3380,0.20633128
201308,9328,0.18624438
201308,12013,0.20083304
201308,3265,0.22317241
201308,3878,0.1843401
201308,3710,0.21718119
201308,7331,0.19164494
201308,10019,0.20896952
201308,252,0.18295516
201308,5933,0.19114166
201308,7049,0.21281709
201308,6202,0.20526907
201308,10941,0.18696673
201308,2115,0.18295516
201308,52,0.20759462
201308,10142,0.19294919
201308,11412,0.1912254
201308,5762,0.18725896
201308,6035,0.20859355
201308,7561,0.18295516
201308,1403,0.19467205
201308,235,0.20300215
201308,13971,0.22410743
201308,7009,0.18295516
201308,1263,0.19259687
201308,7835,0.19572525
201308,10348,0.19081095
201308,5434,0.18605044
201308,4985,0.18856554
201308,4529,0.20920373
201308,12011,0.20211156
201308,11345,0.18295516
201308,10161,0.18295516
201308,4288,0.20632483
201308,5202,0.18295516
201308,9202,0.19080749
201308,2441,0.18862364
201308,7646,0.20046575
201308,2696,0.22624259
201308,3244,0.18295516
201308,5204,0.18705967
201308,3803,0.18814865
201308,8436,0.18295516
201308,2940,0.18303405
201308,7951,0.19090793
201308,9066,0.19468233
201308,12634,0.1843401
201308,12729,0.20170075
201308,11178,0.18678164
201308,2362,0.18295516
201308,2380,0.22439264
201308,9938,0.19061434
201308,2450,0.1878523
201308,11773,0.19947496
201308,10541,0.18286034
201308,10647,0.18295516
201308,6166,0.18737501
201308,4455,0.18295516
201308,3552,0.21940464
201308,6571,0.19400829
201308,2214,0.1843401
201308,10212,0.18295516
201308,6009,0.2044776
201308,2810,0.18861929
201308,8667,0.18295516
201308,5721,0.18522987
201308,166,0.19731773
201308,13746,0.18295516
201308,10918,0.18465826
201308,9801,0.21177518
201308,262,0.23764274
201308,6741,0.19625966
201308,2574,0.18295516
201308,9508,0.19825831
201308,10714,0.18588704
201308,5618,0.18469124
201308,6267,0.18430726
201308,12736,0.18295516
201308,11454,0.20616561
201308,11925,0.1907269
201308,9001,0.23869695
201308,10480,0.18295516
201308,11657,0.19332291
201308,10125,0.19221881
201308,731,0.18810548
201308,5786,0.22504625
201308,7232,0.18295516
201308,2834,0.22319406
201308,4724,0.18755007
201308,4182,0.18705967
201308,337,0.20203279
201308,6554,0.1892808
201308,3477,0.21575528
201308,1679,0.18867537
201308,10044,0.18295516
201308,12854,0.18295516
201308,9255,0.1844066
201308,298,0.19726
201308,10378,0.18693493
201308,9779,0.18944167
201308,8865,0.18810548
201308,784,0.1861465
201308,9237,0.18303405
201308,12087,0.18429598
201308,13321,0.18295516
201308,10870,0.18295516
201308,7863,0.18846565
201308,13233,0.18711077
201308,8088,0.18992214
201308,7984,0.21125345
201308,2098,0.19695164
201308,485,0.2154204
201308,3702,0.18295516
201308,4938,0.20195505
201308,11200,0.19938564
201308,13127,0.1843401
201308,11607,0.18622647
201308,5888,0.1998566
201308,9063,0.2127557
201308,5347,0.19209759
201308,255,0.18764545
201308,11170,0.18295516
201308,11896,0.2124768
201308,10290,0.191695
201308,1540,0.18295516
201308,1677,0.18295516
201308,6655,0.18705967
201308,7336,0.1965451
201308,8868,0.20034046
201308,5076,0.2098584
201308,7151,0.19296382
201308,7903,0.19282493
201308,9316,0.18454346
201308,9148,0.189631
201308,12536,0.20540607
201308,2902,0.18430726
201308,6486,0.1935285
201308,7695,0.1861465
201308,12483,0.20955867
201308,3880,0.18303405
201308,1862,0.2255169
201308,164,0.23184356
201308,12688,0.18570012
201308,3671,0.18295516
201308,8175,0.18295516
201308,4353,0.19164264
201308,9736,0.18295516
201308,7877,0.18958466
201308,8695,0.20402892
201308,5450,0.20451257
201308,5556,0.19238521
201308,76,0.21588884
201308,10807,0.18815032
201308,12609,0.19362274
201308,2990,0.18432724
201308,8619,0.18707721
201308,11864,0.18465826
201308,9168,0.1853543
201308,12350,0.1843401
201308,3068,0.19777435
201308,9707,0.21154784
201308,8842,0.2024093
201308,6580,0.1845957
201308,12012,0.20121357
201308,3149,0.19202264
201308,9232,0.18816939
201308,6291,0.18549582
201308,7388,0.19489007
201308,7895,0.19738297
201308,3239,0.18415079
201308,7125,0.21367411
201308,7891,0.18970756
201308,8295,0.18295516
201308,12992,0.18705967
201308,1546,0.18597247
201308,7205,0.18295516
201308,11707,0.18295516
201308,49,0.18295516
201308,7586,0.19241777
201308,870,0.1843401
201308,7918,0.18295516
201308,5638,0.2041406
201308,334,0.18678164
201308,2272,0.18876877
201308,4119,0.19892807
201308,8963,0.19362274
201308,4884,0.18704572
201308,12892,0.18856554
201308,9260,0.18295516
201308,6191,0.19164133
201308,1186,0.18295516
201308,4263,0.19054031
201308,3080,0.20065123
201308,11902,0.18787248
201308,7320,0.1902497
201308,3725,0.18787248
201308,6187,0.19777249
201308,7490,0.18295516
201308,601,0.19362274
201308,12687,0.21763489
201308,6025,0.1914862
201308,10239,0.18378907
201308,10228,0.22011687
201308,9734,0.18378907
201308,4700,0.19407353
201308,13784,0.18725896
201308,201,0.18295516
201308,6702,0.19344974
201308,652,0.20366508
201308,2169,0.19332291
201308,2809,0.18295516
201308,3184,0.19341265
201308,11809,0.18295516
201308,12503,0.19195917
201308,8990,0.1965756
201308,11034,0.20245567
201308,110,0.18560511
201308,12696,0.18575412
201308,409,0.18295516
201308,2921,0.19362274
201308,10690,0.20667435
201308,1105,0.19756952
201308,8577,0.18295516
201308,12865,0.20945495
201308,10321,0.19174892
201308,2090,0.1843401
201308,4131,0.1922798
201308,11518,0.22240548
201308,6823,0.19354203
201308,4133,0.18295516
201308,1294,0.21379888
201308,1659,0.18575412
201308,9805,0.18295516
201308,151,0.19821635
201308,12097,0.18594582
201308,8055,0.19072191
201308,12154,0.20297956
201308,1969,0.21744092
201308,2284,0.18295516
201308,1805,0.18295516
201308,6518,0.20663677
201308,12105,0.18295516
201308,12309,0.19485705
201308,4800,0.18286034
201308,11831,0.18295516
201308,14093,0.18295516
201308,5168,0.2076574
201308,2688,0.18678164
201308,4175,0.18295516
201308,1568,0.20518178
201308,1854,0.18295516
201308,2398,0.18755007
201308,8419,0.18295516
201308,8417,0.1930255
201308,5628,0.18295516
201308,3682,0.19483279
201308,11281,0.19773148
201308,11153,0.1861465
201308,8844,0.18850681
201308,8384,0.18295516
201308,1420,0.18672782
201308,4428,0.18295516
201308,1995,0.1843401
201308,3988,0.1870143
201308,228,0.20198311
201308,6430,0.200547
201308,3411,0.18286034
201308,5341,0.18295516
201308,10628,0.18429598
201308,4780,0.19294919
201308,5173,0.21409202
201308,8891,0.19938564
201308,2652,0.18295516
201308,4130,0.20684077
201308,1170,0.18378907
201308,8271,0.18295516
201308,799,0.18423188
201308,1855,0.18898591
201308,1038,0.18575412
201308,840,0.18947528
201308,11184,0.19005951
201308,12382,0.19221881
201308,6496,0.19281426
201308,11949,0.1843401
201308,13521,0.18597247
201308,9450,0.1916074
201308,92,0.18430726
201308,1555,0.18358184
201308,7969,0.19644108
201308,4878,0.18957548
201308,10736,0.18441947
201308,9509,0.18295516
201308,9988,0.2050826
201308,11586,0.19582562
201308,1814,0.20122996
201308,3782,0.18295516
201308,5780,0.18295516
201308,237,0.18430726
201308,13828,0.18540779
201308,10073,0.18716244
201308,138,0.18295516
201308,7603,0.18816939
201308,6902,0.21231233
201308,12497,0.18705967
201308,9446,0.20212485
201308,4721,0.18295516
201308,155,0.2005603
201308,14427,0.19088897
201308,1361,0.18816939
201308,7307,0.19985814
201308,1875,0.20307308
201308,7698,0.18563515
201308,7867,0.18456276
201308,3500,0.19448696
201308,2855,0.18815057
201308,3540,0.19528648
201308,9895,0.1926018
201308,12187,0.18295516
201308,6513,0.18295516
201308,13805,0.18295516
201308,1565,0.18415079
201308,11618,0.18430726
201308,4710,0.18358184
201308,11328,0.21581033
201308,1720,0.20973681
201308,8789,0.20640825
201308,9771,0.18840335
201308,9846,0.18295516
201308,4479,0.20457017
201308,592,0.19738297
201308,12525,0.1843401
201308,11466,0.19622272
201308,2329,0.19417982
201308,11730,0.19760278
201308,9211,0.20938705
201308,9097,0.18303405
201308,11709,0.18428978
201308,2954,0.18295516
201308,131,0.18846852
201308,6973,0.18709745
201308,13332,0.18570101
201308,11824,0.20769747
201308,8047,0.18866675
201308,918,0.18862364
201308,176,0.19217117
201308,1055,0.18678164
201308,7577,0.18554272
201308,5834,0.1845957
201308,8105,0.18295516
201308,5203,0.18977737
201308,9833,0.20331627
201308,4908,0.18295516
201308,8746,0.18844712
201308,10109,0.18454346
201308,1967,0.18739618
201308,9728,0.19380471
201308,6165,0.18824492
201308,9928,0.1984051
201308,6537,0.18295516
201308,675,0.18295516
201308,12710,0.21659414
201308,1942,0.20832017
201308,6590,0.18725896
201308,10675,0.20352887
201308,4855,0.19332291
201308,7998,0.18303405
201308,6401,0.19397457
201308,9266,0.18295516
201308,1734,0.20214374
201308,1905,0.20805186
201308,8612,0.23164892
201308,8232,0.19026692
201308,1329,0.21626036
201308,8437,0.19995143
201308,8045,0.20729557
201308,3067,0.18928604
201308,4013,0.18861775
201308,6248,0.18710262
201308,1241,0.20423062
201308,3690,0.18752943
201308,5667,0.20666295
201308,8679,0.20258975
201308,10153,0.19306931
201308,562,0.19815588
201308,13885,0.2068131
201308,10897,0.18378907
201308,6519,0.18972978
201308,6784,0.1919611
201308,8882,0.21499267
201308,14461,0.18702479
201308,1390,0.18295516
201308,3212,0.1856582
201308,22,0.19552107
201308,533,0.1948232
201308,1897,0.18984331
201308,5726,0.20959824
201308,1167,0.18690437
201308,8294,0.19362274
201308,7525,0.18295516
201308,9856,0.18512842
201308,1896,0.19586341
201308,13309,0.19296613
201308,8901,0.20415969
201308,9570,0.20433995
201308,4901,0.18705967
201308,5812,0.20287864
201308,12004,0.2096804
201308,979,0.18454346
201308,7690,0.18295516
201308,161,0.20783858
201308,803,0.18295516
201308,3797,0.18295516
201308,3639,0.20072147
201308,653,0.19500601
201308,9539,0.1931692
201308,11431,0.20823275
201308,4494,0.19884819
201308,8563,0.1929046
201308,9986,0.18752943
201308,13322,0.19475883
201308,2254,0.18378012
201308,4665,0.1843401
201308,12089,0.18286034
201308,5335,0.18303405
201309,2746,0.18816939
201309,8897,0.2046559
201309,5658,0.1890928
201309,5851,0.1858785
201309,11422,0.18799233
201309,1483,0.18829924
201309,3124,0.18575412
201309,8547,0.21090873
201309,6261,0.19134791
201309,2689,0.1904425
201309,5186,0.18295516
201309,5501,0.19233432
201309,9146,0.1843401
201309,2044,0.2076574
201309,11916,0.18666552
201309,12452,0.18295516
201309,3197,0.18295516
201309,718,0.23096016
201309,8595,0.19841641
201309,10236,0.20463839
201309,4729,0.20218234
201309,8368,0.18295516
201309,6043,0.18295516
201309,11343,0.20675619
201309,1871,0.18295516
201309,476,0.21157241
201309,837,0.20026556
201309,507,0.2245494
201309,12432,0.21796715
201309,6995,0.18295516
201309,2747,0.18295516
201309,785,0.18833233
201309,9700,0.18725896
201309,8890,0.18295516
201309,4827,0.18295516
201309,7278,0.19849415
201309,1217,0.1843401
201309,8957,0.21041395
201309,2021,0.18415079
201309,3077,0.20213968
201309,10385,0.2071524
201309,13665,0.19238105
201309,12407,0.20067772
201309,8296,0.19078644
201309,393,0.1861465
201309,11742,0.18295516
201309,1077,0.189477
201309,11187,0.20302397
201309,8618,0.20495012
201309,2186,0.1954322
201309,2976,0.1871524
201309,12044,0.20120116
201309,7571,0.18780583
201309,10552,0.18415079
201309,3743,0.19452557
201309,10540,0.18574351
201309,3293,0.18295516
201309,795,0.1843401
201309,4843,0.18755007
201309,2307,0.18787248
201309,2207,0.18343684
201309,8132,0.18897
201309,4875,0.18295516
201309,5030,0.21793202
201309,9496,0.20258975
201309,301,0.19286802
201309,13176,0.19332291
201309,2854,0.19822624
201309,8953,0.18286034
201309,6474,0.21087913
201309,8,0.18787248
201309,6063,0.19580981
201309,11681,0.18787248
201309,3611,0.18428978
201309,3520,0.19815233
201309,2281,0.18745932
201309,11265,0.20317653
201309,7309,0.19538102
201309,5864,0.18295516
201309,6967,0.20336698
201309,4506,0.18454346
201309,5095,0.18295516
201309,1159,0.19563308
201309,2035,0.2018888
201309,6123,0.18378907
201309,9065,0.18295516
201309,5465,0.20118542
201309,5867,0.18295516
201309,9079,0.18678164
201309,10624,0.18899664
201309,7858,0.18295516
201309,7107,0.18428978
201309,2813,0.18295516
201309,628,0.2031981
201309,10372,0.18725896
201309,5121,0.1861465
201309,11366,0.19551879
201309,10408,0.18295516
201309,4680,0.1913912
201309,3305,0.20475759
201309,3413,0.2089569
201309,9848,0.19500601
201309,4328,0.19170506
201309,5493,0.18295516
201309,5875,0.1861465
201309,2332,0.19088466
201309,3738,0.20527136
201309,4659,0.18454346
201309,13148,0.18429598
201309,4707,0.19957167
201309,202,0.18846852
201309,11307,0.20604897
201309,12794,0.18454346
201309,5182,0.19233921
201309,3261,0.19566347
201309,9663,0.18563515
201309,12937,0.19328235
201309,1560,0.2087661
201309,1460,0.1907269
201309,5940,0.19495963
201309,5327,0.19532613
201309,6620,0.18295516
201309,3081,0.18415079
201309,8112,0.18678164
201309,8557,0.18780583
201309,11804,0.18295516
201309,4472,0.21183294
201309,3584,0.1892729
201309,2171,0.2033336
201309,1259,0.1843401
201309,9669,0.18693493
201309,3352,0.18295516
201309,6434,0.21221733
201309,13953,0.18295516
201309,2821,0.19156788
201309,8305,0.19340758
201309,9857,0.1894885
201309,8196,0.18295516
201309,8718,0.18295516
201309,11037,0.18454346
201309,2099,0.21042864
201309,11483,0.18295516
201309,949,0.18286034
201309,8347,0.19362274
201309,12119,0.1907269
201309,913,0.18295516
201309,9555,0.2092802
201309,11216,0.18295516
201309,3449,0.18944167
201309,3231,0.19067882
201309,8615,0.18705967
201309,5175,0.18295516
201309,669,0.18579961
201309,4936,0.21186182
201309,1815,0.19226977
201309,6847,0.21176735
201309,2781,0.20222959
201309,3354,0.18295516
201309,8310,0.1919611
201309,10366,0.18295516
201309,7165,0.18432724
201309,6685,0.1965451
201309,148,0.19842087
201309,2775,0.19388385
201309,692,0.18295516
201309,3656,0.19366327
201309,1266,0.18295516
201309,11938,0.21223444
201309,5044,0.20289338
201309,1190,0.19266579
201309,6448,0.1908052
201309,9487,0.1870521
201309,10113,0.18295516
201309,10481,0.19045061
201309,4873,0.18428978
201309,9818,0.18295516
201309,4557,0.21878041
201309,3513,0.18295516
201309,9111,0.18737501
201309,1749,0.1843401
201309,4805,0.18295516
201309,1208,0.18286034
201309,10602,0.18702479
201309,12969,0.18928604
201309,11112,0.21087484
201309,8744,0.18810716
201309,8465,0.18479171
201309,11755,0.20000091
201309,1958,0.19681963
201309,12388,0.22647575
201309,2208,0.18678164
201309,11666,0.18378907
201309,1797,0.18420586
201309,7755,0.18428978
201309,12118,0.18678164
201309,10842,0.19380471
201309,7399,0.18951257
201309,9559,0.22241943
201309,4732,0.1843401
201309,7537,0.20178132
201309,5453,0.18880825
201309,10124,0.18295516
201309,12585,0.18705967
201309,5678,0.18295516
201309,4984,0.21799746
201309,50,0.18705967
201309,12694,0.18295516
201309,2342,0.18624763
201309,11005,0.18574351
201309,7427,0.18575412
201309,9935,0.18725896
201309,9381,0.18295516
201309,1799,0.18295516
201309,721,0.18295516
201309,354,0.20009255
201309,358,0.19905256
201309,10974,0.19109091
201309,13717,0.18303405
201309,5532,0.18295516
201309,2003,0.18295516
201309,2665,0.21340801
201309,10779,0.1843401
201309,3288,0.1845957
201309,8907,0.21562964
201309,118,0.18705967
201309,1293,0.19423313
201309,8205,0.19582167
201309,1955,0.19230959
201309,10281,0.18787248
201309,10538,0.21220511
201309,3399,0.18295516
201309,5562,0.1843401
201309,10259,0.20072147
201309,10334,0.18787248
201309,9982,0.18295516
201309,13253,0.18787248
201309,9789,0.2065932
201309,5959,0.18295516
201309,11268,0.18295516
201309,11069,0.20738867
201309,10186,0.1882313
201309,759,0.18295516
201309,1110,0.18295516
201309,12468,0.20240392
201309,6985,0.21565938
201309,11624,0.18295516
201309,5657,0.18862364
201309,3464,0.18295516
201309,1423,0.18295516
201309,2752,0.18752943
201309,853,0.18977737
201309,5225,0.18423188
201309,4343,0.20427746
201309,3161,0.18693493
201309,9326,0.18419446
201309,135,0.18430726
201309,6218,0.19419888
201309,1380,0.1894885
201309,7693,0.2014435
201309,6932,0.18441947
201309,12691,0.18295516
201309,8846,0.1990583
201309,12801,0.1861465
201309,8284,0.1845957
201309,5692,0.18568255
201309,3700,0.19938564
201309,3802,0.1925094
201309,12514,0.18977737
201309,8054,0.20682782
201309,5564,0.18454346
201309,2897,0.19644108
201309,3340,0.18295516
201309,2905,0.19996798
201309,3899,0.18295516
201309,8204,0.18295516
201309,12683,0.20307843
201309,4513,0.19775923
201309,6507,0.21703532
201309,1713,0.18678164
201309,5963,0.19800444
201309,8805,0.18705967
201309,10322,0.18378012
201309,1588,0.18295516
201309,3590,0.19909993
201309,1261,0.18622647
201309,8222,0.19321214
201309,11150,0.21234384
201309,386,0.18430726
201309,13108,0.2032431
201309,6354,0.18568876
201309,9942,0.20129317
201309,10256,0.18818888
201309,3199,0.18295516
201309,5969,0.1885394
201309,10291,0.19423313
201309,7898,0.18295516
201309,4041,0.19332291
201309,6524,0.20083304
201309,8072,0.18295516
201309,4501,0.18575412
201309,11312,0.19674459
201309,10135,0.20546821
201309,12299,0.19367409
201309,1326,0.1861465
201309,952,0.1861465
201309,4426,0.22581597
201309,8948,0.19964324
201309,204,0.18295516
201309,7879,0.20298578
201309,8887,0.18787248
201309,9724,0.20824185
201309,1620,0.18295516
201309,10503,0.19419666
201309,6245,0.18570012
201309,11156,0.18303405
201309,10745,0.18295516
201309,3333,0.18454346
201309,3334,0.18780583
201309,4592,0.19419888
201309,2416,0.2013614
201309,1887,0.1861223
201309,891,0.1890725
201309,640,0.18593769
201309,9338,0.21226406
201309,9514,0.18295516
201309,1511,0.18799233
201309,8824,0.18725896
201309,3521,0.19535187
201309,5531,0.19089977
201309,10298,0.2035372
201309,2614,0.18295516
201309,3687,0.18295516
201309,935,0.19693719
201309,2386,0.18295516
201309,7904,0.19014192
201309,4464,0.18295516
