CODMES,CODSOLICITUD,prediction_corpus
201307,12515,0.13505115
201307,7696,0.64549047
201307,11182,0.428471
201307,10404,0.5837487
201307,7789,0.44997865
201307,8593,0.6284284
201307,8239,0.66223955
201307,13776,0.11033894
201307,12398,0.3443897
201307,12287,0.3598558
201307,14258,0.08509334
201307,9814,0.32421476
201307,11505,0.7058778
201307,10948,0.34465507
201307,10953,0.086181596
201307,41,0.6015859
201307,5226,0.29350823
201307,12384,0.31277573
201307,13307,0.07847458
201307,6338,0.3333694
201307,10433,0.23268497
201307,10126,0.48303527
201307,10262,0.63167524
201307,8690,0.14755401
201307,1510,0.66139966
201307,4141,0.24156885
201307,9083,0.16804112
201307,13447,0.12637034
201307,5751,0.3686403
201307,8987,0.64826715
201307,5668,0.6649111
201307,2224,0.22333612
201307,1559,0.5770211
201307,1067,0.2582291
201307,6410,0.28197652
201307,2869,0.47100073
201307,7042,0.53770685
201307,2567,0.29691622
201307,8986,0.09669936
201307,1314,0.45556727
201307,7491,0.37856373
201307,1589,0.5525928
201307,5716,0.048129804
201307,519,0.25129533
201307,14089,0.27541018
201307,3461,0.49015352
201307,9193,0.3682529
201307,6573,0.6459364
201307,4136,0.4401427
201307,2177,0.072509825
201307,5316,0.52367365
201307,11213,0.08532642
201307,6506,0.058364026
201307,6939,0.03039634
201307,13173,0.21755032
201307,4475,0.28852004
201307,9930,0.064240605
201307,11338,0.03099392
201307,14239,0.48357463
201307,2927,0.12300207
201307,4,0.58856887
201307,9953,0.082209356
201307,12742,0.35127425
201307,13355,0.6488664
201307,962,0.25163004
201307,11651,0.094913036
201307,5251,0.49267444
201307,10931,0.39516154
201307,10017,0.59183484
201307,3409,0.57244956
201307,3378,0.48851433
201307,7524,0.5090283
201307,8959,0.5105028
201307,8758,0.1969938
201307,2546,0.7155905
201307,10561,0.5064681
201307,9129,0.21887559
201307,11516,0.20486271
201307,11993,0.376178
201307,8286,0.26503766
201307,6415,0.0893742
201307,9614,0.5257772
201307,910,0.3046358
201307,5892,0.70915675
201307,11534,0.100369334
201307,3617,0.08527831
201307,11384,0.12527299
201307,4695,0.34804896
201307,12262,0.13194305
201307,13864,0.39367124
201307,1350,0.40858293
201307,4958,0.46307242
201307,4917,0.3125772
201307,7352,0.47577575
201307,13120,0.45223263
201307,3984,0.64669925
201307,1406,0.38165736
201307,6027,0.08112497
201307,9689,0.50104487
201307,7730,0.57309437
201307,13497,0.6559056
201307,12442,0.26353815
201307,11004,0.48688534
201307,3175,0.29081747
201307,10526,0.6831765
201307,6233,0.28371614
201307,4763,0.6012648
201307,8580,0.4166016
201307,9617,0.1366132
201307,5814,0.56715393
201307,8327,0.24658838
201307,980,0.28861088
201307,2886,0.6005307
201307,7848,0.61546355
201307,1954,0.535375
201307,5579,0.46480957
201307,7036,0.278707
201307,10471,0.6491827
201307,10232,0.11437195
201307,13482,0.18215719
201307,4735,0.20380719
201307,1379,0.16140875
201307,1200,0.14257514
201307,8827,0.11847703
201307,6389,0.6912076
201307,7219,0.067092836
201307,5365,0.19172418
201307,5881,0.120745495
201307,10814,0.41895396
201307,5566,0.16929738
201307,7829,0.28480917
201307,4066,0.68045646
201307,667,0.18603899
201307,10422,0.3327457
201307,7355,0.53303504
201307,6465,0.42658108
201307,8462,0.67112136
201307,10411,0.05132253
201307,9155,0.45266742
201307,3179,0.41449246
201307,6882,0.5621371
201307,4932,0.44081736
201307,10301,0.26984426
201307,10102,0.1978869
201307,5043,0.23043196
201307,843,0.103119135
201307,13341,0.2564764
201307,4465,0.73406076
201307,7457,0.076470695
201307,2534,0.242565
201307,10284,0.4663231
201307,5841,0.10549854
201307,8220,0.31154102
201307,749,0.5816594
201307,2736,0.45530185
201307,2658,0.34122938
201307,4752,0.1714005
201307,1400,0.26530188
201307,7836,0.22721222
201307,9177,0.5890452
201307,12160,0.69871706
201307,8025,0.59094954
201307,6492,0.29101592
201307,9315,0.69085133
201307,12161,0.36882523
201307,12017,0.590842
201307,2508,0.4972056
201307,9739,0.32652366
201307,5749,0.22363886
201307,2299,0.41932186
201307,7830,0.10935267
201307,6930,0.3327009
201307,74,0.64151305
201307,769,0.73753434
201307,7716,0.54686415
201307,10336,0.1766966
201307,2081,0.5114743
201307,14099,0.24890293
201307,7160,0.73173773
201307,8262,0.47189143
201307,11159,0.66632587
201307,4083,0.4948994
201307,6363,0.06309548
201307,11407,0.32283282
201307,6885,0.33116964
201307,9244,0.54733974
201307,9064,0.21788076
201307,2970,0.27705082
201307,11106,0.1331819
201307,7515,0.3822675
201307,60,0.5339724
201307,3861,0.13071413
201307,14225,0.40629667
201307,9616,0.29315007
201307,5513,0.070392445
201307,2806,0.23746762
201307,12484,0.5965013
201307,11523,0.26947984
201307,4774,0.5599187
201307,13538,0.5164899
201307,9145,0.22881222
201307,13320,0.38724327
201307,2794,0.05441593
201307,11851,0.5525726
201307,1789,0.2802541
201307,8336,0.15072016
201307,8468,0.18930373
201307,6546,0.7061833
201307,5942,0.33079588
201307,9959,0.27353692
201307,1053,0.64371943
201307,5837,0.6234398
201307,10054,0.47531834
201307,7496,0.10868037
201307,4970,0.19426253
201307,14219,0.53180903
201307,2282,0.41269898
201307,5604,0.5449448
201307,1092,0.3962921
201307,11297,0.6629728
201307,766,0.4931775
201307,1811,0.06921199
201307,515,0.18434125
201307,5480,0.71628946
201307,7283,0.43051222
201307,5320,0.22745486
201307,4545,0.39404085
201307,1244,0.49885392
201307,10853,0.27631462
201307,2576,0.7446931
201307,14352,0.257737
201307,2414,0.34065318
201307,6698,0.21073581
201307,7972,0.4630967
201307,3370,0.5129931
201307,8470,0.60299176
201307,8732,0.24873094
201307,1322,0.20014663
201307,3729,0.35992458
201307,9991,0.103504956
201307,3943,0.19716294
201307,3105,0.35495278
201307,3786,0.06808021
201307,6599,0.1363835
201307,12626,0.5971019
201307,75,0.22102524
201307,9034,0.52645713
201307,6500,0.3382945
201307,4088,0.78975505
201307,2408,0.042855922
201307,3891,0.4203759
201307,3129,0.6862393
201307,1835,0.15037173
201307,12277,0.7694897
201307,10716,0.6308855
201307,10908,0.6745422
201307,1383,0.2408897
201307,1182,0.33587223
201307,3824,0.5432668
201307,2972,0.40010512
201307,10527,0.64812165
201307,9000,0.5923714
201307,1904,0.2571493
201307,10844,0.15961185
201307,9978,0.2806651
201307,541,0.20026033
201307,7243,0.15789293
201307,11766,0.53473586
201307,6388,0.13920175
201307,1401,0.56873274
201307,5377,0.20599626
201307,7180,0.40331262
201307,11838,0.467846
201307,6853,0.7011603
201307,1257,0.18873194
201307,11245,0.31256142
201307,9803,0.6723287
201307,1791,0.3148001
201307,7108,0.604569
201307,5059,0.51085407
201307,12015,0.110975385
201307,4157,0.10545328
201307,532,0.38405022
201307,904,0.7308862
201307,9389,0.07345703
201307,3845,0.736993
201307,12488,0.80368775
201307,5448,0.18710943
201307,895,0.5180574
201307,9647,0.45161617
201307,8353,0.06652181
201307,10431,0.7065336
201307,6170,0.46957257
201307,11999,0.69986665
201307,5788,0.6004494
201307,12511,0.05227302
201307,5923,0.050614562
201307,7747,0.35514906
201307,2871,0.13818689
201307,9143,0.35062155
201307,3807,0.50336725
201307,2624,0.5542668
201307,6852,0.06297271
201307,11821,0.35073063
201307,3955,0.5409854
201307,8838,0.7396635
201307,9200,0.14903574
201307,11940,0.32724336
201307,9464,0.501502
201307,12623,0.28258258
201307,9194,0.45935637
201307,2018,0.59189427
201307,7562,0.31261504
201307,6342,0.40512913
201307,7852,0.23423527
201307,6252,0.2210606
201307,3365,0.52019125
201307,12869,0.53327537
201307,7936,0.36514056
201307,11397,0.40349346
201307,1909,0.06954759
201307,8185,0.40228346
201307,9380,0.19805521
201307,5457,0.08184241
201307,133,0.27130508
201307,336,0.58885336
201307,9898,0.4327493
201307,13868,0.31882665
201307,1793,0.2062018
201307,7819,0.23658341
201307,869,0.85124016
201307,4090,0.43635777
201307,9287,0.3332673
201307,12654,0.039621543
201307,11509,0.23403119
201307,7298,0.63965976
201307,8013,0.14705124
201307,13397,0.5203851
201307,3359,0.42743638
201307,13853,0.23061879
201307,5252,0.29750636
201307,3267,0.41526195
201307,11449,0.54420114
201307,6398,0.3320553
201307,12723,0.3423897
201307,397,0.25274536
201307,10307,0.35333726
201307,13005,0.42760885
201307,2723,0.5678249
201307,4415,0.37656942
201307,9773,0.65149003
201307,4044,0.56817394
201307,9121,0.3720923
201307,2660,0.21552584
201307,3609,0.07285619
201307,11470,0.21249394
201307,11863,0.50236094
201307,4987,0.6718923
201307,792,0.7700367
201307,10294,0.4451522
201307,9440,0.3430901
201307,10735,0.21580407
201307,1899,0.11463771
201307,8608,0.68205124
201307,5948,0.86888367
201307,12941,0.60572475
201307,9777,0.6039568
201307,2835,0.3097535
201307,3972,0.15796033
201307,2485,0.41755566
201307,4516,0.6872837
201307,5401,0.496783
201307,7658,0.48338634
201307,9965,0.27418473
201307,14169,0.6361287
201307,9960,0.5996521
201307,7370,0.6442196
201307,691,0.45908284
201307,11044,0.5434372
201307,8187,0.13124338
201307,12668,0.5958362
201307,12117,0.5880177
201307,416,0.11919093
201307,12551,0.47629076
201307,10349,0.27055117
201307,3533,0.20003022
201307,5774,0.3573753
201307,5541,0.4300226
201307,5189,0.23153739
201307,9871,0.08415634
201307,7932,0.34488302
201307,11292,0.4815451
201307,3048,0.3208782
201307,132,0.2018436
201307,2820,0.316243
201307,10234,0.07987501
201307,12762,0.32855442
201307,6325,0.8155013
201307,13190,0.30158314
201307,14157,0.07337268
201307,3578,0.6619538
201307,13074,0.43648845
201307,11223,0.5773708
201307,6297,0.42328134
201307,3190,0.5477021
201307,11103,0.060462765
201307,1145,0.5484569
201307,10905,0.068789735
201307,2385,0.27681273
201307,10221,0.52542067
201307,1666,0.55096227
201307,3969,0.36842945
201307,13954,0.63808686
201307,1994,0.59498787
201307,961,0.11284041
201307,1470,0.26068473
201307,7395,0.24270628
201307,10839,0.40525052
201307,10810,0.3567732
201307,10568,0.14107868
201307,5742,0.64074576
201307,1009,0.39022234
201307,6739,0.3690932
201307,1036,0.07624395
201307,11314,0.78300613
201307,2866,0.33547187
201307,5067,0.33318803
201307,13401,0.6002177
201307,7239,0.57839984
201307,11531,0.47033948
201307,4604,0.07721821
201307,10730,0.55848956
201307,7231,0.507388
201307,11202,0.13037196
201307,12416,0.25481153
201307,4199,0.06413103
201307,7670,0.7571677
201307,6737,0.45074883
201307,11653,0.5158487
201307,5518,0.52454084
201307,4221,0.090069935
201307,6551,0.058326118
201307,9549,0.27495933
201307,9108,0.0879636
201307,8992,0.29755038
201307,2783,0.5518097
201307,3171,0.7130954
201307,7420,0.49589103
201307,1102,0.23920573
201307,11426,0.4273066
201307,8192,0.68589336
201307,12685,0.18135473
201307,8621,0.6594147
201307,7632,0.7365188
201307,6722,0.5635107
201307,1632,0.46317777
201307,757,0.3697649
201307,8926,0.15131524
201307,12362,0.61435694
201307,7482,0.71013343
201307,2008,0.62521815
201307,8041,0.6356947
201307,5442,0.15074459
201307,2210,0.68222106
201307,13464,0.33981296
201307,4321,0.2039124
201307,10641,0.254101
201307,3758,0.3599444
201307,5616,0.30197415
201307,12473,0.4630729
201307,8627,0.71373594
201307,9984,0.37075013
201307,11160,0.7807219
201307,9876,0.6223969
201307,9629,0.31949043
201307,9456,0.5549152
201307,7462,0.055765197
201307,10027,0.65878105
201307,9518,0.3736539
201307,3767,0.19265014
201307,14150,0.46600986
201307,6259,0.2159241
201307,7091,0.45329675
201307,4460,0.06321874
201307,7712,0.7580238
201307,11471,0.5352906
201307,14196,0.24773282
201307,11662,0.77803075
201307,1117,0.37192836
201307,11108,0.46336645
201307,10462,0.20656526
201307,11976,0.084780276
201307,647,0.40401256
201307,6504,0.33735454
201307,14004,0.38062176
201307,11929,0.37301713
201307,2313,0.6224427
201307,98,0.6404704
201307,7546,0.30014682
201307,9587,0.62130743
201307,10347,0.34590837
201307,11266,0.20704912
201307,3502,0.6852505
201307,14228,0.200794
201307,2910,0.3476619
201307,7993,0.3936447
201307,13218,0.30514112
201307,3819,0.051056497
201307,2031,0.26975602
201307,11589,0.47012627
201307,10566,0.73708236
201307,1378,0.5252733
201307,13195,0.19996998
201307,10159,0.30791134
201307,4034,0.05612729
201307,1189,0.10667614
201307,11846,0.687766
201307,14131,0.21268846
201307,5822,0.2557502
201307,1340,0.10720657
201307,611,0.7709607
201307,3806,0.27209985
201307,13160,0.27967387
201307,14404,0.1691649
201307,5522,0.46811235
201307,3421,0.08466323
201307,8095,0.3682392
201307,10325,0.27205363
201307,4200,0.47869468
201307,8098,0.52349937
201307,5279,0.21043316
201307,2320,0.52503896
201307,9240,0.07768777
201307,1359,0.2970861
201307,11808,0.15601814
201307,8093,0.065809555
201307,11760,0.40428516
201307,6225,0.3599664
201307,1609,0.30446368
201307,10626,0.5526297
201307,4188,0.12325791
201307,8021,0.518897
201307,7760,0.29487336
201307,6905,0.67997247
201307,1493,0.25175878
201307,11670,0.17375015
201307,6911,0.383105
201307,2463,0.64822626
201307,3580,0.64901054
201307,8218,0.35857326
201307,11761,0.6640221
201307,4001,0.19624175
201307,5665,0.7571033
201307,4536,0.50699097
201307,2943,0.11739964
201307,5603,0.20000117
201307,9678,0.64856136
201307,6601,0.16577542
201307,6532,0.666846
201307,63,0.41318536
201307,11410,0.119542584
201307,1352,0.37654108
201307,7468,0.11691635
201307,12805,0.10541622
201307,4720,0.5559732
201307,7257,0.11869523
201307,7071,0.3182126
201307,7194,0.43520012
201307,1725,0.17780046
201307,9159,0.13706541
201307,8237,0.5498622
201307,13703,0.17857893
201307,2421,0.44821408
201307,11144,0.3295122
201307,3353,0.7187046
201307,9272,0.61427397
201307,9296,0.42335272
201307,964,0.063437514
201307,311,0.5883885
201307,9403,0.38410893
201307,2594,0.6594685
201307,11229,0.46026805
201307,11329,0.1231127
201307,10620,0.42172512
201307,11058,0.35095102
201307,8786,0.16564305
201307,6674,0.6641409
201307,7305,0.61271
201307,7547,0.82844615
201307,5971,0.254078
201307,10440,0.17787106
201307,9367,0.07146629
201307,8599,0.5265256
201307,390,0.63363
201307,8647,0.46553344
201307,13922,0.645303
201307,4967,0.6643807
201307,10034,0.15327117
201307,7761,0.58583766
201307,8139,0.6846104
201307,6925,0.633759
201307,937,0.37823454
201307,13698,0.4452067
201307,9975,0.26553494
201307,13269,0.40647718
201307,6536,0.5488035
201307,8924,0.18548195
201307,1432,0.56650996
201307,1138,0.77351075
201307,8068,0.49635094
201307,4197,0.25215268
201307,1927,0.6926518
201307,9740,0.6754276
201307,1195,0.100770675
201307,7497,0.66993755
201307,12883,0.13968323
201307,1830,0.37757272
201307,1538,0.1683571
201307,8854,0.48647463
201307,3336,0.60481584
201307,7230,0.7071523
201307,10832,0.64848566
201307,1481,0.35358405
201307,1444,0.6687195
201307,13996,0.080575526
201307,8278,0.51539713
201307,6622,0.56978065
201307,3162,0.28463352
201307,1286,0.41656446
201307,1821,0.33267146
201307,1980,0.25529552
201307,7269,0.12667407
201307,12783,0.13474587
201307,3486,0.20367241
201307,5413,0.64517534
201307,10424,0.13334875
201307,8001,0.6018183
201307,10330,0.22975305
201307,492,0.36928174
201307,10707,0.5127003
201307,2710,0.31281194
201307,9205,0.5076731
201307,13652,0.14480509
201307,11572,0.3362204
201307,4142,0.1696427
201307,370,0.4767991
201307,388,0.6871101
201307,11499,0.5715096
201307,2686,0.37651655
201307,6966,0.4091113
201307,2464,0.27113286
201307,9493,0.25117633
201307,10778,0.12994727
201307,9526,0.18598476
201307,2315,0.14029199
201307,8714,0.4525584
201307,13920,0.20609875
201307,9081,0.49743932
201307,10076,0.092077255
201307,7533,0.09971198
201307,10391,0.42489907
201307,6220,0.09020545
201307,11892,0.12802817
201307,8826,0.5737405
201307,12577,0.6806043
201307,7417,0.13684064
201307,3657,0.5550508
201307,11963,0.1577841
201307,8130,0.25194508
201307,789,0.43232858
201307,13599,0.13762371
201307,12319,0.36989495
201307,12138,0.5739266
201307,8829,0.37859324
201307,6284,0.28243333
201307,7843,0.28737178
201307,3481,0.08939374
201307,10954,0.3055441
201307,7263,0.71332765
201307,2857,0.11856902
201307,11674,0.32643756
201307,5146,0.11265487
201307,9074,0.43206048
201307,4678,0.7494424
201307,8939,0.547868
201307,14347,0.08266703
201307,15,0.5808716
201307,1278,0.22926715
201307,12782,0.46247336
201307,28,0.56483316
201307,9002,0.541237
201307,10955,0.37616768
201307,12079,0.07156396
201307,7659,0.5106278
201307,11172,0.092330106
201307,11697,0.13102378
201307,10625,0.19460665
201307,2314,0.2138136
201307,9757,0.24767609
201307,1369,0.06236591
201307,12120,0.4027327
201307,3730,0.19994567
201307,6771,0.38489008
201307,3709,0.08840789
201307,7016,0.30929583
201307,4340,0.16449827
201307,1478,0.12737115
201307,12188,0.5863139
201307,13734,0.254809
201307,4518,0.7185166
201307,9186,0.5689966
201307,11550,0.06770085
201307,11980,0.6003918
201307,9386,0.6829693
201307,2227,0.5911032
201307,10101,0.5954546
201307,11214,0.21974424
201307,1058,0.38492364
201307,9259,0.7099577
201307,1108,0.43519697
201307,8079,0.7655522
201307,12235,0.17063996
201307,11995,0.14480402
201307,9977,0.38831085
201307,13446,0.21791182
201307,13905,0.6907207
201307,3297,0.54047996
201307,1242,0.4168067
201307,1270,0.27716708
201307,4888,0.211122
201307,8688,0.43661898
201307,4999,0.40799257
201307,12670,0.13258967
201307,6337,0.70967305
201307,10555,0.34752622
201307,5010,0.4056556
201307,883,0.62808937
201307,473,0.11923955
201307,12383,0.2018164
201307,7681,0.5212046
201307,1742,0.4234409
201308,12147,0.13641962
201308,5402,0.52570236
201308,9152,0.28056815
201308,11096,0.3556612
201308,3958,0.15510473
201308,8067,0.1957433
201308,2202,0.30582333
201308,14381,0.37491015
201308,2562,0.11566445
201308,8730,0.55585825
201308,6475,0.11934628
201308,14101,0.39808932
201308,10486,0.36870992
201308,1348,0.09328593
201308,142,0.2601299
201308,12944,0.24990651
201308,5704,0.72303355
201308,12239,0.6544506
201308,7458,0.50855494
201308,9915,0.27389967
201308,4470,0.3647295
201308,13163,0.43558657
201308,7596,0.3113811
201308,7271,0.6638625
201308,3423,0.51695323
201308,9067,0.6010375
201308,8641,0.53146124
201308,6445,0.043160237
201308,1692,0.45747843
201308,7881,0.089499824
201308,6787,0.1535336
201308,8268,0.4693273
201308,167,0.35458094
201308,13812,0.44285032
201308,13192,0.612098
201308,5412,0.42566752
201308,5261,0.35557815
201308,6053,0.24575041
201308,9574,0.72017175
201308,2480,0.6642206
201308,3393,0.5578191
201308,5058,0.5858173
201308,8938,0.6138655
201308,4926,0.23358253
201308,5077,0.5148514
201308,10351,0.3089656
201308,1482,0.30847564
201308,13145,0.54374737
201308,175,0.09604621
201308,9535,0.4641741
201308,5683,0.64042
201308,10595,0.5837696
201308,12985,0.34051332
201308,10903,0.50586987
201308,9359,0.07629411
201308,10090,0.6245892
201308,4110,0.18427965
201308,6278,0.77696556
201308,11129,0.4178603
201308,9216,0.4763706
201308,2611,0.21905294
201308,8528,0.23285836
201308,6535,0.40741357
201308,5992,0.49780568
201308,12298,0.6279333
201308,7545,0.16599108
201308,1442,0.32299063
201308,12627,0.26532406
201308,4324,0.585938
201308,11180,0.6816395
201308,11522,0.79010653
201308,687,0.69329
201308,12358,0.48363855
201308,10854,0.25667933
201308,591,0.69347125
201308,12334,0.41740614
201308,8276,0.3127091
201308,7148,0.58167607
201308,10785,0.5563091
201308,13110,0.24196653
201308,2719,0.25132507
201308,7028,0.51874125
201308,14243,0.54853666
201308,3489,0.4536463
201308,13588,0.47992495
201308,1660,0.76854837
201308,5324,0.114402995
201308,5302,0.68903685
201308,4683,0.40833867
201308,3884,0.22394782
201308,11452,0.61859006
201308,8444,0.5266797
201308,78,0.7953158
201308,5854,0.46014586
201308,9198,0.33816218
201308,11082,0.322041
201308,13907,0.09470624
201308,3037,0.16313308
201308,880,0.17077783
201308,8456,0.21603443
201308,2325,0.60090476
201308,4531,0.16690494
201308,4580,0.19356017
201308,11443,0.078286126
201308,9343,0.26311496
201308,9130,0.5538661
201308,6377,0.5393621
201308,4049,0.10946376
201308,12289,0.41385332
201308,11189,0.37811098
201308,1960,0.50322175
201308,4047,0.31501952
201308,5485,0.124572404
201308,6828,0.6303402
201308,1084,0.8029005
201308,8289,0.68949133
201308,9028,0.49293616
201308,6996,0.5370976
201308,10354,0.4949014
201308,12176,0.63562274
201308,9934,0.5246532
201308,13365,0.6106124
201308,13733,0.45736703
201308,10706,0.24047123
201308,1792,0.17265882
201308,11173,0.51155484
201308,10356,0.11674762
201308,2213,0.7633849
201308,1277,0.21645401
201308,14181,0.34991992
201308,490,0.29691952
201308,8815,0.25488865
201308,4696,0.5680166
201308,8397,0.23088017
201308,4769,0.502648
201308,9880,0.59071845
201308,9925,0.21444777
201308,1701,0.36670434
201308,11235,0.7656769
201308,206,0.7188679
201308,9687,0.43884963
201308,10522,0.22993313
201308,12090,0.8222128
201308,7593,0.05959695
201308,8110,0.20527224
201308,4445,0.15530078
201308,11882,0.63399756
201308,7579,0.10930746
201308,13554,0.48050082
201308,11700,0.115373194
201308,1157,0.64803445
201308,12372,0.667463
201308,748,0.11135617
201308,9469,0.044563312
201308,7366,0.5564476
201308,1529,0.38396922
201308,7203,0.55378884
201308,3759,0.27663487
201308,5285,0.4735208
201308,3838,0.35626438
201308,10022,0.6409684
201308,915,0.35394725
201308,5830,0.6572701
201308,10037,0.22347729
201308,14202,0.11673478
201308,9751,0.1416291
201308,5005,0.7202951
201308,9204,0.14957292
201308,10970,0.46375585
201308,3054,0.32297873
201308,10712,0.32726872
201308,10670,0.23799786
201308,13814,0.12872624
201308,6367,0.6266259
201308,7975,0.20681569
201308,10429,0.7348338
201308,542,0.37430277
201308,11656,0.39627883
201308,13061,0.27840337
201308,5404,0.571575
201308,5811,0.1714863
201308,12436,0.11185228
201308,8481,0.6910502
201308,5623,0.47630438
201308,7613,0.11267194
201308,7261,0.07811033
201308,8349,0.42948723
201308,4228,0.6929493
201308,2725,0.33295703
201308,7339,0.37179214
201308,3029,0.57221144
201308,10879,0.5962666
201308,6250,0.21792376
201308,2590,0.5078123
201308,4578,0.5092448
201308,10009,0.5803294
201308,56,0.5169013
201308,5946,0.09524284
201308,9008,0.4609494
201308,5949,0.48041362
201308,3035,0.2136597
201308,4310,0.22093531
201308,3975,0.53548485
201308,7907,0.4974077
201308,2906,0.30263668
201308,11313,0.3550502
201308,8762,0.49569595
201308,7335,0.74514097
201308,8411,0.5599563
201308,13075,0.42918405
201308,173,0.3332462
201308,3850,0.43886915
201308,10579,0.28771985
201308,12789,0.07303767
201308,6572,0.49629998
201308,4240,0.59715044
201308,7662,0.32196003
201308,12674,0.284406
201308,9735,0.5757006
201308,9993,0.2993967
201308,2948,0.29728785
201308,5241,0.679445
201308,5183,0.70793325
201308,11114,0.51899576
201308,3930,0.2496958
201308,9565,0.70173836
201308,7169,0.6794156
201308,11208,0.5389862
201308,6480,0.12940004
201308,7864,0.43491507
201308,5523,0.13331705
201308,1301,0.1376805
201308,1688,0.49159035
201308,4124,0.07221897
201308,11141,0.5106909
201308,6482,0.07486895
201308,7011,0.44657445
201308,4856,0.363306
201308,8086,0.28582996
201308,6427,0.18974902
201308,8063,0.09185558
201308,12539,0.17456114
201308,2942,0.53527874
201308,1417,0.63693756
201308,8476,0.2512233
201308,10863,0.5188344
201308,11503,0.47329026
201308,2294,0.15173417
201308,12879,0.23449694
201308,1100,0.34255508
201308,11162,0.29217607
201308,10603,0.3393659
201308,5089,0.41919962
201308,6534,0.43086645
201308,4213,0.30315408
201308,13941,0.3488844
201308,4741,0.30258352
201308,2287,0.22265497
201308,8109,0.1196618
201308,13241,0.11149202
201308,9282,0.19158296
201308,3703,0.49636874
201308,3173,0.60075355
201308,4137,0.16035675
201308,9909,0.46987644
201308,2252,0.37970313
201308,3916,0.39076945
201308,11769,0.21423793
201308,12278,0.23882043
201308,5689,0.5128991
201308,12333,0.062055353
201308,2150,0.5061293
201308,14295,0.10357692
201308,385,0.64197814
201308,10586,0.57831234
201308,73,0.60865027
201308,5336,0.068225384
201308,7128,0.30311623
201308,1209,0.33939087
201308,6146,0.44558945
201308,10734,0.563134
201308,2973,0.2878713
201308,8671,0.8724009
201308,11381,0.5107712
201308,214,0.4491772
201308,7018,0.26819763
201308,7224,0.36103457
201308,13056,0.7280604
201308,10646,0.38506344
201308,6633,0.26168406
201308,8343,0.21229255
201308,446,0.5777999
201308,7822,0.28229085
201308,3018,0.46756876
201308,10559,0.46629977
201308,8607,0.33924073
201308,2840,0.14464878
201308,10717,0.37632313
201308,3993,0.058127716
201308,4312,0.20485646
201308,8240,0.18416783
201308,4546,0.84618896
201308,13903,0.1811874
201308,1435,0.40191117
201308,2396,0.07408125
201308,3465,0.48082882
201308,4290,0.4379542
201308,4821,0.055563375
201308,5615,0.5320316
201308,37,0.44592157
201308,3829,0.553697
201308,3135,0.1743558
201308,5163,0.6196012
201308,5674,0.6540711
201308,9652,0.24006493
201308,13502,0.6511601
201308,2903,0.18426438
201308,9860,0.106364205
201308,4957,0.48595265
201308,13183,0.13041732
201308,11166,0.11932222
201308,9095,0.2925224
201308,12065,0.48470756
